System,Threat,Attacker level,Alteration possible?,Detected?,Provable + culprit identified?,Time to detect
Spreadsheet (CSV),T-a lower value,naive,YES - silent file edit,YES (2 findings),NO - no identity binding; file metadata shows neither who nor what,11 ms audit run; unbounded otherwise (nothing triggers an audit)
SQLite DB,T-a lower value,naive,YES - ordinary UPDATE/DELETE by any admin,YES (2 findings),"NO - unless privileged server logs exist, which the same admin controls",7 ms audit run; unbounded otherwise
Spreadsheet (CSV),T-a lower value,competent,YES - silent file edit,NO - audit passes clean,NO - no identity binding; file metadata shows neither who nor what,never (internally self-consistent)
SQLite DB,T-a lower value,competent,YES - ordinary UPDATE/DELETE by any admin,NO - audit passes clean,"NO - unless privileged server logs exist, which the same admin controls",never (internally self-consistent)
Spreadsheet (CSV),T-b delete event,naive,YES - silent file edit,YES (2 findings),NO - no identity binding; file metadata shows neither who nor what,8 ms audit run; unbounded otherwise (nothing triggers an audit)
SQLite DB,T-b delete event,naive,YES - ordinary UPDATE/DELETE by any admin,YES (2 findings),"NO - unless privileged server logs exist, which the same admin controls",10 ms audit run; unbounded otherwise
Spreadsheet (CSV),T-b delete event,competent,YES - silent file edit,YES (1 finding),NO - no identity binding; file metadata shows neither who nor what,6 ms audit run; unbounded otherwise (nothing triggers an audit)
SQLite DB,T-b delete event,competent,YES - ordinary UPDATE/DELETE by any admin,YES (1 finding),"NO - unless privileged server logs exist, which the same admin controls",7 ms audit run; unbounded otherwise
Spreadsheet (CSV),T-c back-date,naive,YES - silent file edit,YES (2 findings),NO - no identity binding; file metadata shows neither who nor what,8 ms audit run; unbounded otherwise (nothing triggers an audit)
SQLite DB,T-c back-date,naive,YES - ordinary UPDATE/DELETE by any admin,YES (2 findings),"NO - unless privileged server logs exist, which the same admin controls",8 ms audit run; unbounded otherwise
Spreadsheet (CSV),T-c back-date,competent,YES - silent file edit,NO - audit passes clean,NO - no identity binding; file metadata shows neither who nor what,never (internally self-consistent)
SQLite DB,T-c back-date,competent,YES - ordinary UPDATE/DELETE by any admin,NO - audit passes clean,"NO - unless privileged server logs exist, which the same admin controls",never (internally self-consistent)
Blockchain (Besu QBFT),T-a lower value,insider w/ valid keys,"NO silent path - no update function; role-gated correction rejected; restatement only APPENDS, signed and visible",YES - unauthorised attempt rejected at submission; visible restatement changes event count and totals openly (chain intact: true),YES - every write is key-signed; failed attempts identify their sender; a deviating node is identified by 4-of-5 quorum,15 ms (rejected before entering the ledger)
Blockchain (Besu QBFT),T-b delete event,insider w/ valid keys,"NO - no delete interface exists (mutators: createProduct, recordEvent only)",n/a - not expressible; local node-storage tampering exposed by 4-of-5 quorum divergence,YES - every write is key-signed; failed attempts identify their sender; a deviating node is identified by 4-of-5 quorum,"896 ms (cross-node comparison, 5 nodes)"
Blockchain (Besu QBFT),T-c back-date,insider w/ valid keys,NO - recordEvent accepts no timestamp; the finalised block clock assigns it,n/a - not expressible at entry; altering a past timestamp = altering a finalised block (see T-b),YES - every write is key-signed; failed attempts identify their sender; a deviating node is identified by 4-of-5 quorum,immediate (the field cannot be supplied)
