product_id,event_index,stage_id,actor_address,actor_name,actor_role,activity_data_x1000,activity_unit,emission_factor_x1000,ef_source,co2e_grams,methodology,evidence_hash,prev_event_hash,timestamp_unix,schema_version,event_hash
1,0,8,0x2508257944EAdBe6d5278019F6ABDa1578eBF4D4,Corporate IT (use phase),usePhaseAgent,150000,kWh lifetime electricity,400000,"PLACEHOLDER / SOURCE NEEDED: IEA or national grid factor for use country, averaged over service life",60000,GHG Protocol Scope 3 Cat 11 (use of sold products),0xd026559d8954ebf8d0f733c6945d42bc86722e3d77d7e2318e0fc1d9f0c153e8,0x0000000000000000000000000000000000000000000000000000000000000000,1786467414,1.0.0,0xeb35873da8780372846a16f135b799f58e3cbc8550b8c6abcfbe5ead5884014e
1,1,1,0x6a021adee7D1af852E028c692bD3f81f8D93b572,AluCo Primary Smelting,smelter,1200,kg aluminium,15000000,PLACEHOLDER / SOURCE NEEDED: ecoinvent aluminium primary ingot + IAI & IEA grid factor for smelter region,18000,GHG Protocol Scope 3 Cat 1 (purchased goods),0xa5de1f836477df97c1df3f6afa5a49a72750703ef92ef58aa70c4499c2cce040,0xeb35873da8780372846a16f135b799f58e3cbc8550b8c6abcfbe5ead5884014e,1789059386,1.0.0,0x4a8e053e7b4607ec15097ae0ac9b1ba0a21746f26ba781e4f6de0a7987b84141
1,2,2,0x5F0b6f6CCF48A79CCd957362aFaC3AC212F5f558,Shenzhen PCB Works,pcbSupplier,400,kg populated PCB,150000000,PLACEHOLDER / SOURCE NEEDED: ecoinvent printed wiring board + PCF literature,60000,GHG Protocol Scope 3 Cat 1 (purchased goods),0x854b5dd124eb969abc74d04540e96c1a5f66d87ea5011d637151d81627e19955,0x4a8e053e7b4607ec15097ae0ac9b1ba0a21746f26ba781e4f6de0a7987b84141,1789059390,1.0.0,0xce329ee230bd5a619bba81972d584f95f71f29af5c9428e4ce73335d47aa0f5e
1,3,3,0x262bF1424a18d346AC85cD127ff64DF88824cf16,CellTech Batteries,batteryMaker,60,kWh cell capacity,90000000,PLACEHOLDER / SOURCE NEEDED: GREET / battery LCA (gCO2e per kWh capacity),5400,GHG Protocol Scope 3 Cat 1 (purchased goods),0x0eee0d0e86d12a7f7cdf4208aa1e3761b0d12384fe7eec690824043d2d8747e8,0xce329ee230bd5a619bba81972d584f95f71f29af5c9428e4ce73335d47aa0f5e,1789059394,1.0.0,0x5aeafafc4f4c46c416b5cef593fadc222e6eb7fd8ed2143d947f8683a5e62cf0
1,4,4,0x71d44Fde74A438C7560C49D30917A49fDB853a2D,PanelView Displays,screenSupplier,70,m2 panel area,600000000,PLACEHOLDER / SOURCE NEEDED: ecoinvent LCD module + PCF literature (process gases),42000,GHG Protocol Scope 3 Cat 1 (purchased goods),0xe05ba8197b6c2c5e5d061176d11c50eaf57ef2c0b209959709eb4cbca66f7763,0x5aeafafc4f4c46c416b5cef593fadc222e6eb7fd8ed2143d947f8683a5e62cf0,1789059398,1.0.0,0x3affb5592813ad14f5dcdc803757b50b81858a98b45f00a488f46a22ac7e3c1a
1,5,5,0x90185602439bEBe05FaDAE3218178b75a900b4DA,LaptopCorp Assembly,oem,25000,kWh factory electricity,550000,PLACEHOLDER / SOURCE NEEDED: site energy audit + IEA grid factor for assembly country,13750,"GHG Protocol Scope 1+2 at supplier, Scope 3 Cat 1 to buyer",0xc12551ac3abec84480d5604171cf186b2de7be39d911b25d11f33fe8e6e3370d,0x3affb5592813ad14f5dcdc803757b50b81858a98b45f00a488f46a22ac7e3c1a,1789059402,1.0.0,0x29f6d4867b749811dd62488678ad1378beca00b13d1b5640787f4c5eb5bfb294
1,6,6,0x90185602439bEBe05FaDAE3218178b75a900b4DA,LaptopCorp Assembly,oem,800,kg cardboard and plastics,900000,PLACEHOLDER / SOURCE NEEDED: DEFRA/BEIS UK GHG conversion factors (material production),720,GHG Protocol Scope 3 Cat 1 (purchased goods),0xd683cc9a35472940b2f8dc880091934eb67f0fad30f326c2cee38ebebd84a879,0x29f6d4867b749811dd62488678ad1378beca00b13d1b5640787f4c5eb5bfb294,1789059406,1.0.0,0xa5feade04f9d0197784b728ab475f03f9606320d855b7afa5bf09784e31b131d
1,7,7,0xd43896E491d84156F503AA9C53cA17FDABAC61ab,BlueWater Freight,logistics,50000,tonne-km (sea freight),15000,"PLACEHOLDER / SOURCE NEEDED: DEFRA/BEIS freight factors (container ship, gCO2e per tonne-km)",750,GHG Protocol Scope 3 Cat 4 (upstream transport),0x1c4db9318e458b6565aa4b78f8df28a0b95f73f0b5a89615b98945f1980b6f81,0xa5feade04f9d0197784b728ab475f03f9606320d855b7afa5bf09784e31b131d,1789059410,1.0.0,0x4c93c547b44b3ed7c979eb0d4bc81eebea8efaaabd9d137af34d740f35f028c7
1,8,9,0x3600759b13564C149BA14ccd6B8D944a9Ee6D799,FixIt Refurbishment,repairer,5000,kWh (repair energy + spare-part allocation),600000,PLACEHOLDER / SOURCE NEEDED: repair-shop energy + spare part embodied carbon (ecoinvent),3000,GHG Protocol Scope 3 Cat 11 extension,0x52c6518fc17a11aa0d35acaf419a9dbe4576323cc2a4dbb98cec1ccd906aaa93,0x4c93c547b44b3ed7c979eb0d4bc81eebea8efaaabd9d137af34d740f35f028c7,1789059418,1.0.0,0xa812c6f8d65cce1ef37617b25ec8109514034d9f4ca94a0751ac0c8c9efd186d
1,9,10,0x529FeE1F1fC608FAA5d4DE582740441Fc800DF7D,GreenLoop Recycling,recycler,2000,kg mass processed,-1500000,PLACEHOLDER / SOURCE NEEDED: recycling LCA; NEGATIVE factor = avoided-burden credit for recovered materials,-3000,GHG Protocol Scope 3 Cat 12 (end-of-life),0xeeb8ebffa550080e1f4ac733873db4b9dfa05a687eeebcf5ac1d79a87eca6d84,0xa812c6f8d65cce1ef37617b25ec8109514034d9f4ca94a0751ac0c8c9efd186d,1789059422,1.0.0,0x28754ca052b10a651b9f6952e4821a07876073c7e6918afc755958bd1f3e4467
