data_status,product_instance,stage_id,stage_name,synthetic_activity_value,activity_unit,emission_factor_gCO2e_per_unit,factor_status,co2e_kg
SYNTHETIC,1,1,"Aluminium casing [SYNTHETIC]",1.207,"kg aluminium",14800,CITED,17.864
SYNTHETIC,1,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.29,"kg populated board",185714,DERIVED_FROM_CITED,53.857
SYNTHETIC,1,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0761,"kWh cell capacity",74000,CITED,5.631
SYNTHETIC,1,4,"Screen (LCD module) [SYNTHETIC]",0.0548,"m2 panel area",222000,CITED,12.166
SYNTHETIC,1,5,"Assembly electricity [SYNTHETIC]",24.7,"kWh factory electricity",445,CITED,10.992
SYNTHETIC,1,6,"Packaging (cardboard) [SYNTHETIC]",1.04,"kg packaging material",1199.73,CITED,1.248
SYNTHETIC,1,7,"International shipping (sea, container) [SYNTHETIC]",53.2,"tonne-km",16.12,CITED,0.858
SYNTHETIC,1,8,"Use-phase electricity [SYNTHETIC]",122,"kWh lifetime electricity",445,CITED,54.29
SYNTHETIC,1,9,"Repair (replacement battery) [SYNTHETIC]",0.0632,"kWh replacement-battery capacity",74000,CITED,4.677
SYNTHETIC,1,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.97,"kg mass processed",-1170.4,CITED,-2.306
SYNTHETIC,2,1,"Aluminium casing [SYNTHETIC]",0.992,"kg aluminium",14800,CITED,14.682
SYNTHETIC,2,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.321,"kg populated board",185714,DERIVED_FROM_CITED,59.614
SYNTHETIC,2,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0488,"kWh cell capacity",74000,CITED,3.611
SYNTHETIC,2,4,"Screen (LCD module) [SYNTHETIC]",0.051,"m2 panel area",222000,CITED,11.322
SYNTHETIC,2,5,"Assembly electricity [SYNTHETIC]",27.8,"kWh factory electricity",445,CITED,12.371
SYNTHETIC,2,6,"Packaging (cardboard) [SYNTHETIC]",0.89,"kg packaging material",1199.73,CITED,1.068
SYNTHETIC,2,7,"International shipping (sea, container) [SYNTHETIC]",65.4,"tonne-km",16.12,CITED,1.054
SYNTHETIC,2,8,"Use-phase electricity [SYNTHETIC]",234,"kWh lifetime electricity",445,CITED,104.13
